Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Country of origin,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,Holders of other higher courses,"""2""",Equinculture,daytime,Higher education - degree,140.0,Portugal,Unknown,Unknown,Student,Student,140.0,False,False,False,True,female,False,25,False,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,"""6""",Nursing,daytime,Secondary education,139.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Administrative Staff,124.5,True,False,False,True,female,False,19,False,0,8,9,7,12.04142857142857,0,0,8,9,7,12.04142857142857,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Animation and Multimedia Design,daytime,Secondary education,142.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",142.0,True,False,False,True,female,True,18,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
single,Holders of other higher courses,"""1""",Tourism,daytime,Higher education - degree (1st cycle),130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",130.0,False,False,False,True,female,False,39,False,12,13,14,13,13.76923076923077,0,9,12,16,12,14.583333333333334,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,144.0,False,False,False,True,female,False,29,False,13,18,20,18,15.444444444444445,0,11,13,13,13,15.307692307692308,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,"""1""",Basic Education,daytime,Secondary education,125.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",128.5,True,False,False,True,female,False,18,False,0,7,9,6,11.5,0,0,7,8,7,12.714285714285714,0,13.9,-0.3,0.79,Enrolled
single,Holders of other higher courses,"""1""",Communication Design,daytime,Higher education - degree,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Intermediate Level Technicians and Professions,140.0,False,False,False,False,female,False,23,False,0,3,3,2,10.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Transfer,"""1""",Basic Education,daytime,Secondary education,120.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",113.9,True,False,False,True,female,False,21,False,0,6,8,4,12.25,0,0,6,13,3,10.333333333333334,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,147.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Administrative Staff,137.2,False,False,False,False,female,False,18,False,0,6,6,6,14.5,0,0,6,6,6,15.166666666666666,0,10.8,1.4,1.74,Graduate
single,Holders of other higher courses,"""1""",Veterinary Nursing,daytime,Higher education - degree (1st cycle),140.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",140.0,True,False,False,True,female,False,23,False,0,6,7,6,15.571428571428571,0,0,6,8,6,16.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Equinculture,daytime,Secondary education,161.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Administrative Staff,152.3,False,False,False,True,female,False,18,False,0,6,7,6,15.571428571428571,0,0,6,7,6,14.714285714285714,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,"""1""",Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Installation and Machine Operators and Assembly Workers,112.5,False,False,False,True,female,False,32,False,0,6,8,5,13.8,0,0,6,7,6,12.166666666666666,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,"""2""",Management,daytime,Secondary education,150.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",101.0,False,False,True,False,female,False,29,False,0,5,8,3,10.666666666666666,0,0,5,14,2,14.8,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,"""6""",Social Service,daytime,Secondary education,113.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Meal Preparation Assistants,"Farmers, Livestock Keepers, Fishermen, Hunters, and Gatherers, Subsistence",112.3,True,False,True,True,female,True,20,False,0,6,8,5,11.6,0,0,6,8,4,11.75,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,"""1""",Social Service,daytime,Secondary education,140.0,Portugal,Unknown,Unknown,Student,Student,114.0,True,False,False,False,female,False,28,False,0,6,11,1,13.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Holders of other higher courses,"""1""",Management,daytime,Higher education - degree,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Legislative Power, Executive Bodies, Directors, and Executive Managers",Unskilled Workers,130.0,False,False,False,True,female,False,27,False,0,5,9,3,12.0,0,0,5,11,4,13.625,0,10.8,1.4,1.74,Graduate
single,Change of course,"""2""",Nursing,daytime,Secondary education,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unknown,Other Situation,Student,121.5,False,False,True,True,female,False,22,False,11,14,14,12,12.333333333333334,2,11,14,14,12,12.333333333333334,2,7.6,2.6,0.32,Graduate
married,Over 23 years old,"""1""",Agronomy,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,120.0,False,False,True,True,female,False,37,False,0,6,10,6,12.875,0,0,6,12,6,12.9,0,16.2,0.3,-0.92,Enrolled
single,Holders of other higher courses,"""1""",Social Service (evening attendance),evening,Higher education - degree,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Personal Services, Security and Safety Workers, and Sellers",130.0,False,False,False,False,female,False,28,False,0,6,12,1,11.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
married,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.7,False,False,True,False,female,False,43,False,0,6,10,4,12.25,0,0,6,13,4,10.5,0,8.9,1.4,3.51,Dropout
single,Change of course,"""1""",Oral Hygiene,daytime,Secondary education,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.0,True,False,False,False,female,False,32,False,0,7,7,0,0.0,7,0,8,8,0,0.0,7,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,123.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,113.2,False,False,False,True,female,True,20,False,0,6,11,4,10.75,0,0,6,13,5,11.5,0,15.5,2.8,-4.06,Enrolled
divorced,Over 23 years old,"""1""",Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative Staff,120.0,False,False,False,True,female,True,35,False,0,8,9,8,13.63,1,0,8,9,8,13.63,1,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""1""",Advertising and Marketing Management,daytime,Secondary education,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Student,Student,117.8,True,False,False,True,female,False,21,False,0,5,8,3,13.0,0,0,5,7,4,11.5,1,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,"""4""",Nursing,daytime,Secondary education,126.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Unskilled Workers,121.3,True,False,False,True,female,True,18,False,0,7,9,6,13.533333333333331,0,0,7,7,7,12.228571428571428,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,176.0,Portugal,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",169.7,False,False,False,True,female,True,18,False,0,7,7,7,16.9,0,0,8,9,8,16.37777777777778,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,"""4""",Social Service,daytime,Secondary education,124.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,117.7,True,False,False,True,female,False,18,False,0,6,10,5,12.0,0,0,6,11,4,12.0,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,"""1""",Social Service (evening attendance),evening,Technological specialization course,120.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",121.8,True,False,False,True,female,False,22,False,3,6,6,6,12.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""2""",Nursing,daytime,Secondary education,140.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Armed Forces Professions,128.3,True,False,False,True,female,False,19,False,0,8,8,7,12.764285714285714,0,0,8,8,7,12.764285714285714,0,10.8,1.4,1.74,Graduate
single,3rd phase - general contingent,"""2""",Management,daytime,Secondary education,143.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",132.2,True,False,False,True,female,True,18,False,0,5,8,5,13.75,0,0,5,6,5,12.166666666666666,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,"""2""",Animation and Multimedia Design,daytime,Secondary education,136.0,Portugal,Technological Specialization Course,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative Staff,134.3,True,False,True,True,female,False,19,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,132.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",123.4,False,False,False,True,female,True,18,False,0,7,7,7,14.604285714285712,0,0,8,9,8,15.68333333333333,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,"""1""",Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technological Specialization Course,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,121.7,False,False,True,False,female,False,31,False,0,5,7,0,0.0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Over 23 years old,"""1""",Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Legislative Power, Executive Bodies, Directors, and Executive Managers","Personal Services, Security and Safety Workers, and Sellers",130.0,False,False,True,True,female,True,33,False,0,6,9,5,13.833333333333334,0,0,6,7,6,12.5,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""3""",Nursing,daytime,Secondary education,137.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",126.5,True,False,False,True,female,True,19,False,0,8,8,8,13.57625,0,0,8,8,8,13.57625,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,153.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",159.7,True,False,False,True,female,True,18,False,0,6,7,6,15.142857142857142,0,0,6,6,6,15.833333333333334,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""1""",Management,daytime,Secondary education,160.0,Portugal,12th Year of Schooling - Not Completed,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Intermediate Level Technicians and Professions,151.3,False,False,False,True,female,False,23,False,0,5,8,3,10.666666666666666,0,0,5,8,5,11.6,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,145.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",138.0,True,False,False,True,female,False,20,False,0,6,11,5,11.2,0,0,6,6,6,12.0,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""5""",Nursing,daytime,Secondary education,137.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,Installation and Machine Operators and Assembly Workers,126.5,True,False,False,True,female,False,18,False,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,Graduate
single,Short cycle diploma holders,"""1""",Veterinary Nursing,daytime,Professional higher technical course,140.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Intermediate Level Technicians and Professions,140.0,True,False,True,True,female,False,21,False,7,9,10,8,13.25,0,4,9,14,5,12.2,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,120.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",112.3,False,False,False,True,female,True,22,False,0,6,10,5,10.714285714285714,0,0,6,10,5,12.2,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,122.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Administrative Staff,127.3,True,False,True,True,female,False,20,False,0,6,6,6,12.166666666666666,0,0,6,7,6,11.666666666666666,0,9.4,-0.8,-3.12,Graduate
single,Holders of other higher courses,"""1""",Nursing,daytime,Higher education - degree,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,Armed Forces Professions,130.0,True,False,False,True,female,False,23,False,1,7,8,6,14.357142857142858,0,1,7,8,6,14.357142857142858,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,"""2""",Journalism and Communication,daytime,Secondary education,133.1,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Personal Services, Security and Safety Workers, and Sellers",115.0,True,False,False,True,female,False,19,False,0,6,6,6,12.833333333333334,0,0,6,6,6,12.666666666666666,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,"""6""",Nursing,daytime,Secondary education,150.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Legislative Power, Executive Bodies, Directors, and Executive Managers","Legislative Power, Executive Bodies, Directors, and Executive Managers",131.5,True,False,False,True,female,False,19,False,0,8,8,7,13.925714285714283,0,0,8,8,7,13.925714285714283,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Administrative Staff,125.7,False,False,False,True,female,False,26,False,0,5,9,2,12.0,0,0,5,9,3,11.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,"""6""",Nursing,daytime,Secondary education,141.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Intermediate Level Technicians and Professions,126.8,True,False,False,True,female,False,18,False,0,7,7,7,13.44285714285714,0,0,8,9,8,13.744444444444444,0,16.2,0.3,-0.92,Graduate
single,3rd phase - general contingent,"""1""",Informatics Engineering,daytime,Secondary education,146.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",132.4,True,False,False,True,male,False,18,False,0,5,5,1,16.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Technological specialization diploma holders,"""1""",Agronomy,daytime,Technological specialization course,150.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150.0,True,False,False,True,male,False,20,False,0,6,8,6,13.125,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""1""",Advertising and Marketing Management,daytime,Secondary education,133.1,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Administrative Staff,95.0,False,False,False,True,male,False,19,False,0,6,7,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Change of course,"""1""",Management (evening attendance),evening,Secondary education,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.2,False,False,False,False,male,False,32,False,5,9,9,5,11.4,0,4,4,4,4,11.0,0,10.8,1.4,1.74,Dropout
married,Over 23 years old,"""1""",Equinculture,daytime,Secondary education,150.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Administrative Staff,130.0,False,False,False,False,male,False,31,False,0,4,12,2,11.0,2,0,5,9,3,11.666666666666666,0,9.4,-0.8,-3.12,Dropout
single,Over 23 years old,"""1""",Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Personal Services, Security and Safety Workers, and Sellers",100.0,False,False,False,True,male,False,25,False,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled
single,Transfer,"""1""",Veterinary Nursing,daytime,Technological specialization course,140.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Unskilled Workers,"Legislative Power, Executive Bodies, Directors, and Executive Managers",159.9,True,False,False,True,female,False,21,False,2,6,14,5,13.666666666666666,0,2,6,10,5,13.0,0,16.2,0.3,-0.92,Graduate
married,Change of course,"""1""",Management (evening attendance),evening,Secondary education,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Unskilled Workers,100.0,False,False,False,False,female,False,31,False,2,6,10,4,11.75,0,0,5,6,1,10.0,0,12.7,3.7,-1.7,Dropout
married,Over 23 years old,"""1""",Basic Education,daytime,Secondary education,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",116.5,False,False,False,True,female,False,34,False,0,7,11,1,10.0,0,0,7,7,1,13.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,128.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,False,False,False,True,female,True,18,False,0,6,8,6,13.5,0,0,6,9,6,12.833333333333334,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""3""",Social Service,daytime,Secondary education,117.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,117.0,True,False,True,True,female,False,19,False,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,Short cycle diploma holders,"""1""",Advertising and Marketing Management,daytime,Professional higher technical course,140.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",140.0,True,False,True,True,female,False,21,False,0,6,12,1,12.0,0,0,6,11,1,11.0,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,"""2""",Basic Education,daytime,Secondary education,124.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,118.1,True,False,False,False,female,False,18,False,0,6,11,3,13.0,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,"""1""",Tourism,daytime,Secondary education,158.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technological Specialization Course,Administrative Staff,Installation and Machine Operators and Assembly Workers,153.5,True,False,False,True,female,False,20,False,0,6,7,6,14.833333333333334,0,0,6,6,6,16.0,0,11.1,0.6,2.02,Graduate
single,Change of course,"""1""",Journalism and Communication,daytime,Secondary education,137.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",127.9,True,False,False,True,female,False,20,False,0,6,6,6,11.833333333333334,0,0,6,7,6,12.857142857142858,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,"""3""",Advertising and Marketing Management,daytime,Secondary education,123.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,118.8,True,True,False,True,female,True,18,False,0,6,10,5,12.0,0,0,6,11,5,12.333333333333334,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,126.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,126.7,True,False,False,True,female,False,19,False,0,6,11,4,12.75,0,0,6,7,6,11.333333333333334,0,7.6,2.6,0.32,Graduate
single,Change of course,"""1""",Veterinary Nursing,daytime,Secondary education,170.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Legislative Power, Executive Bodies, Directors, and Executive Managers",170.0,True,False,False,True,female,False,19,False,0,5,5,0,0.0,5,0,5,7,4,14.75,1,12.7,3.7,-1.7,Enrolled
divorced,Over 23 years old,"""1""",Equinculture,daytime,Secondary education,133.1,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",110.0,True,False,False,True,female,True,30,False,0,6,7,0,0.0,0,0,6,16,1,10.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,115.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",115.0,True,False,False,True,female,False,19,False,0,6,6,6,12.0,0,0,6,7,6,12.857142857142858,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""3""",Oral Hygiene,daytime,Secondary education,132.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",119.0,True,False,False,True,female,False,19,False,0,7,9,7,11.677777777777775,0,0,8,8,8,13.8,0,12.7,3.7,-1.7,Graduate
